"muniYear","tot_del","hom"
"01001_1994",9724,89.3333333333333
"01001_1995",9724,89.3333333333333
"01001_1996",9724,89.3333333333333
"01001_1997",9724,89.3333333333333
"01001_1998",9724,89.3333333333333
"01001_1999",9866,95
"01001_2000",9440,78
"01001_2001",9903,94
"01001_2002",10476,94.25
"01001_2003",10603,112
"01001_2004",11305,111
"01001_2005",10188,132
"01001_2006",11588,108
"01001_2007",15203,107
"01001_2008",16302,146
"01001_2009",16701,159
"01001_2010",15825,169
"01002_1994",16117,165.666666666667
"01002_1995",16117,165.666666666667
"01002_1996",7968.5,92
"01002_1997",111,14.6666666666667
"01002_1998",111,14.6666666666667
"01002_1999",112,15
"01002_2000",109,14
"01002_2001",30,1
"01002_2002",85,5.33333333333333
"01002_2003",90,3
"01002_2004",128,7
"01002_2005",166,5
"01002_2006",197,11
"01002_2007",203,16
"01002_2008",144,17
"01002_2009",275,12
"01002_2010",261,10
"01003_1994",265.666666666667,10.6666666666667
"01003_1995",265.666666666667,10.6666666666667
"01003_1996",262,11.5
"01003_1997",256,12.3333333333333
"01003_1998",256,12.3333333333333
"01003_1999",263,13
"01003_2000",242,11
"01003_2001",180,9
"01003_2002",156,9
"01003_2003",170,7.25
"01003_2004",226,7
"01003_2005",224,6
"01003_2006",231,11
"01003_2007",219,13
"01003_2008",327,16
"01003_2009",263,4
"01003_2010",349,13
"01004_1994",320.333333333333,10
"01004_1995",320.333333333333,10
"01004_1996",188,7.5
"01004_1997",24.6666666666667,2.33333333333333
"01004_1998",24.6666666666667,2.33333333333333
"01004_1999",27,2
"01004_2000",20,3
"01004_2001",6,2
"01004_2002",40,2.33333333333333
"01004_2003",20,3.5
"01004_2004",38,4
"01004_2005",56,5
"01004_2006",64,2
"01004_2007",43,3
"01004_2008",39,6
"01004_2009",88,3
"01004_2010",132,4
"01005_1994",117.333333333333,3.66666666666667
"01005_1995",117.333333333333,3.66666666666667
"01005_1996",234,9
"01005_1997",351.666666666667,15.3333333333333
"01005_1998",351.666666666667,15.3333333333333
"01005_1999",336,14
"01005_2000",383,18
"01005_2001",211,2
"01005_2002",368,7.33333333333333
"01005_2003",416,9.5
"01005_2004",543.5,15.3333333333333
"01005_2005",671,17
"01005_2006",731,12
"01005_2007",746,14
"01005_2008",824,24
"01005_2009",1150,24
"01005_2010",1118,21
"01006_1994",1128.66666666667,22
"01006_1995",1128.66666666667,22
"01006_1996",656,14.5
"01006_1997",188.666666666667,7.33333333333333
"01006_1998",188.666666666667,7.33333333333333
"01006_1999",194,8
"01006_2000",178,6
"01006_2001",362,14
"01006_2002",358,13.75
"01006_2003",276,16
"01006_2004",504,21
"01006_2005",282,8
"01006_2006",430,12
"01006_2007",440,15
"01006_2008",452,10
"01006_2009",526,19
"01006_2010",461,13
"01007_1994",482.666666666667,15
"01007_1995",482.666666666667,15
"01007_1996",360,11
"01007_1997",240.333333333333,10
"01007_1998",240.333333333333,10
"01007_1999",259,9
"01007_2000",203,12
"01007_2001",253,5
"01007_2002",287,10.25
"01007_2003",307,12.75
"01007_2004",420,19
"01007_2005",308,8
"01007_2006",417,14
"01007_2007",381,11
"01007_2008",269,15
"01007_2009",417,22
"01007_2010",462,15
"01008_1994",447,17.3333333333333
"01008_1995",447,17.3333333333333
"01008_1996",244.5,10.5
"01008_1997",23.3333333333333,4
"01008_1998",23.3333333333333,4
"01008_1999",27,6
"01008_2000",16,0
"01008_2001",10,0
"01008_2002",11,0
"01008_2003",22,1
"01008_2004",35.5,5.33333333333333
"01008_2005",49,2
"01008_2006",302,12
"01008_2007",71,5
"01008_2008",56,0
"01008_2009",108,0
"01008_2010",87,1
"01009_1994",94,0.666666666666667
"01009_1995",94,0.666666666666667
"01009_1996",66.5,1.5
"01009_1997",41.6666666666667,3.33333333333333
"01009_1998",41.6666666666667,3.33333333333333
"01009_1999",46,2
"01009_2000",33,6
"01009_2001",6,1
"01009_2002",41,2.66666666666667
"01009_2003",24,1.5
"01009_2004",39,3.66666666666667
"01009_2005",54,2
"01009_2006",99,7
"01009_2007",69,1
"01009_2008",55,6
"01009_2009",108,3
"01009_2010",103,7
"01010_1994",104.666666666667,5.66666666666667
"01010_1995",104.666666666667,5.66666666666667
"01010_1996",120,8.5
"01010_1997",123.333333333333,7.66666666666667
"01010_1998",123.333333333333,7.66666666666667
"01010_1999",137,10
"01010_2000",96,3
"01010_2001",24,1
"01010_2002",57,1.66666666666667
"01010_2003",98,0.5
"01010_2004",93.5,0.666666666666667
"01010_2005",89,0
"01010_2006",124,2
"01010_2007",166,9
"01010_2008",156,2
"01010_2009",191,7
"01010_2010",168,7
"01011_1994",175.666666666667,7
"01011_1995",175.666666666667,7
"01011_1996",147.5,6
"01011_1997",122.666666666667,6.33333333333333
"01011_1998",122.666666666667,6.33333333333333
"01011_1999",127,5
"01011_2000",114,9
"01011_2001",26,3
"01011_2002",110,5
"01011_2003",135,5.5
"01011_2004",168,5.66666666666667
"01011_2005",201,8
"01011_2006",52,1
"01011_2007",304,7
"01011_2008",266,7
"01011_2009",472,10
"01011_2010",398,16
"02001_1994",7531.5,94.5
"02001_1995",14665,173
"02001_1996",14175,133
"02001_1997",13618,82
"02001_1998",7955,53
"02001_1999",8438,49
"02001_2000",10765.5,41.5
"02001_2001",13093,34
"02001_2002",14581,38
"02001_2003",12780,38
"02001_2004",13176,47
"02001_2005",13030,35
"02001_2006",15925,50
"02001_2007",17466,162
