"muniYear","agua","dren","elec"
"01001_1994",127299,48,139586
"01001_1995",136031,48,149360
"01001_1996",129607,44,153892
"01001_1997",135411,44,160811
"01001_1998",133729,53,169345
"01001_1999",138534,60,177213
"01001_2000",143889,61,188506
"01001_2001",151414,61,193532
"01001_2002",178693,61,204449
"01001_2003",181092,61,213821
"01001_2004",181092,61,224158
"01001_2005",208108,61,235293
"01001_2006",199102.666666667,61,248495
"01001_2007",219119.5,64,257050
"01001_2008",231620.666666667,67,264306
"01001_2009",230131,67,265202
"01001_2010",234600,67,272398
"01001_2011",244071,73,277517
"01001_2012",240914,76,285419
"01001_2013",182167,79,293916
"01001_2014",65572.75,81,301276
"01001_2015",6073.33333333333,78,448267
"01002_1994",5926,48,5064
"01002_1995",6368,48,6041
"01002_1996",6368,44,6187
"01002_1997",6488,44,7233
"01002_1998",6557,49,7470
"01002_1999",6618,50,7866
"01002_2000",6728,50,8550
"01002_2001",6728,50,9070
"01002_2002",6728,50,9510
"01002_2003",6823,52,9924
"01002_2004",6823,52,10291
"01002_2005",5359.25,52,10802
"01002_2006",2919.66666666667,52,11175
"01002_2007",968,59,11543
"01002_2008",984,66,11406
"01002_2009",1000,66,11628
"01002_2010",1012,66,12321
"01002_2011",1150,70,12619
"01002_2012",1104,73,12993
"01002_2013",3095.25,73,13321
"01002_2014",7196.25,72,13576
"01002_2015",9211.66666666667,75,14057
"01003_1994",9069,39,11429
"01003_1995",9497,39,12556
"01003_1996",9614,32,12065
"01003_1997",9735,32,13247
"01003_1998",9987,40,13488
"01003_1999",10239,37,13975
"01003_2000",10258,37,14294
"01003_2001",10258,37,14713
"01003_2002",11047,37,15177
"01003_2003",11394,41,15777
"01003_2004",12278,41,16181
"01003_2005",13437,41,16985
"01003_2006",12406.5,41,17024
"01003_2007",11376,45,17489
"01003_2008",11376,49,17749
"01003_2009",13030.5,49,18024
"01003_2010",14685,49,18470
"01003_2011",15331,50,19161
"01003_2012",15115.6666666667,53,19462
"01003_2013",11806.75,53,19851
"01003_2014",5277.25,79,20303
"01003_2015",1926,55,20798
"01004_1994",1880,11,1510
"01004_1995",2018,11,1630
"01004_1996",2340,10,1158
"01004_1997",2407,10,967
"01004_1998",3048,11,1339
"01004_1999",3079,12,1400
"01004_2000",3092,12,2179
"01004_2001",3092,12,2315
"01004_2002",2956,12,1701
"01004_2003",3022,14,1765
"01004_2004",3022,14,1883
"01004_2005",3160.75,14,1976
"01004_2006",3438.25,14,2036
"01004_2007",3577,15.5,2150
"01004_2008",3577,17,2918
"01004_2009",3577,17,2989
"01004_2010",3776,17,3073
"01004_2011",4427,19,4154
"01004_2012",4210,19,3220
"01004_2013",5086.75,19,3316
"01004_2014",7061,22,3406
"01004_2015",7939,20,3506
"01005_1994",7717,34,9730
"01005_1995",8383,37,10870
"01005_1996",9574,29,11420
"01005_1997",9788,29,13900
"01005_1998",9899,35,13876
"01005_1999",10818,34,14697
"01005_2000",10975,34,16148
"01005_2001",11028,34,20820
"01005_2002",14497,34,17553
"01005_2003",14732,40,19061
"01005_2004",17016,40,21476
"01005_2005",17572,40,22543
"01005_2006",17536.5,40,22572
"01005_2007",17501,44,25960
"01005_2008",19742,48,27415
"01005_2009",20131,48,30026
"01005_2010",22635,48,29947
"01005_2011",25164,51,31838
"01005_2012",24321,51,33635
"01005_2013",19496.25,51,35056
"01005_2014",10289.75,50,36338
"01005_2015",5331.66666666667,53,38420
"01006_1994",5022,11,5466
"01006_1995",5951,11,6024
"01006_1996",5874,10,6736
"01006_1997",6081,10,7306
"01006_1998",6127,12,6475
"01006_1999",6299,12,8049
"01006_2000",6315,12,8367
"01006_2001",6358,12,8710
"01006_2002",6627,12,9646
"01006_2003",6997,14,10280
"01006_2004",6997,14,10790
"01006_2005",7190,14,11326
"01006_2006",8027,14,11341
"01006_2007",8864,16.5,11232
"01006_2008",8864,19,11835
"01006_2009",9301,19,11634
"01006_2010",10905,19,11673
"01006_2011",10925,21,11846
"01006_2012",10918.3333333333,22,12098
"01006_2013",9758.25,22,12270
"01006_2014",7568.5,20,12483
"01006_2015",6449.66666666667,22,12822
"01007_1994",6278,22,7813
"01007_1995",6793,22,8456
"01007_1996",7173,19,8450
"01007_1997",7345,19,9899
"01007_1998",7417,20,9528
"01007_1999",7468,20,9804
"01007_2000",7491,20,10331
"01007_2001",7491,20,10966
"01007_2002",8997,20,11659
"01007_2003",9062,21,12087
"01007_2004",9692,21,12818
"01007_2005",9856,21,13455
"01007_2006",10041.5,21,13725
"01007_2007",10227,21.5,14179
"01007_2008",11087,22,14100
"01007_2009",10824,22,14345
"01007_2010",11440,22,14750
"01007_2011",11439,25,15208
"01007_2012",11439.3333333333,27,15239
"01007_2013",8874,27,15542
"01007_2014",3778.75,30,15937
"01007_2015",1225.33333333333,27,16453
"01008_1994",1178,8,1356
"01008_1995",1320,8,1453
"01008_1996",1340,3,1447
"01008_1997",1355,3,1659
"01008_1998",1388,8,1593
"01008_1999",1401,4,1646
"01008_2000",1411,4,1704
"01008_2001",1411,4,1767
"01008_2002",1414,4,1849
"01008_2003",1471,5,1902
"01008_2004",1865,6,1973
"01008_2005",1859,6,2071
"01008_2006",1914,6,2168
"01008_2007",1969,7.5,2338
"01008_2008",1969,9,2425
"01008_2009",2050,9,2511
"01008_2010",2110,9,2608
"01008_2011",2208,9,2708
"01008_2012",2175.33333333333,9,2755
"01008_2013",2285.5,9,2823
"01008_2014",2636.5,19,2906
"01008_2015",2779.33333333333,11,2996
"01009_1994",2616,17,2795
"01009_1995",3106,17,3017
"01009_1996",2869,16,2959
"01009_1997",2914,16,3334
"01009_1998",2961,19,3426
"01009_1999",3000,18,3531
"01009_2000",3010,18,3725
"01009_2001",3010,18,3928
"01009_2002",2976,18,4122
"01009_2003",3017,20,4321
"01009_2004",3017,20,4500
"01009_2005",3036.25,20,4724
"01009_2006",3074.75,20,4837
"01009_2007",3094,24.5,5126
"01009_2008",3094,29,5142
"01009_2009",5328,29,5069
"01009_2010",5375,29,5226
"01009_2011",5361,29,5405
"01009_2012",5365.66666666667,29,5563
"01009_2013",4586.75,29,5683
"01009_2014",3159.5,29,5819
"01009_2015",2425.66666666667,29,6021
"01010_1994",2250,25,2532
"01010_1995",2777,25,2832
"01010_1996",2580,19,2354
"01010_1997",2681,19,2758
"01010_1998",2715,45,2857
"01010_1999",2791,29,2946
"01010_2000",2803,29,3641
"01010_2001",2826,29,3338
"01010_2002",2987,29,3648
"01010_2003",3144,29,3851
"01010_2004",3144,29,4054
"01010_2005",4706,29,4255
"01010_2006",7309.33333333333,29,4481
"01010_2007",9392,31.5,4711
"01010_2008",6948,34,4893
"01010_2009",4504,34,5093
"01010_2010",4825,34,5276
"01010_2011",5012,34,5279
"01010_2012",4949.66666666667,34,5432
"01010_2013",4486.5,34,5566
"01010_2014",3769.5,75,5723
"01010_2015",3355.33333333333,34,5979
"01011_1994",3097,19,4891
"01011_1995",3872,19,5359
"01011_1996",3318,15,3647
"01011_1997",3417,15,4552
"01011_1998",3606,16,4734
"01011_1999",3654,15,4890
"01011_2000",3679,15,5135
"01011_2001",3712,15,5615
"01011_2002",3825,15,6784
"01011_2003",4214,15,8055
"01011_2004",8908,15,9069
"01011_2005",8070,15,9520
"01011_2006",8728,15,10258
"01011_2007",9386,17,11833
"01011_2008",9386,19,11693
"01011_2009",9737,19,11831
"01011_2010",11333,19,12736
"01011_2011",11622,22,13742
"01011_2012",11525.6666666667,24,15388
"01011_2013",20919,31,14997
"01011_2014",40856.25,27,15889
"01011_2015",50601,25,17036
"02001_1994",49099,20.25,79658
"02001_1995",53605,11,84088
"02001_1996",71761,4,87017
"02001_1997",70910,5.9,91497
"02001_1998",71101,3.33333333333333,98586
"02001_1999",63329,2.5,103914
"02001_2000",56674,2,109342
"02001_2001",68892,2,114516
"02001_2002",72537,2,120341
"02001_2003",78824,3,126785
"02001_2004",83158,3,131798
"02001_2005",116869,4,139527
"02001_2006",90040,4,146394
"02001_2007",124588,4,152378
"02001_2008",128155,4,157943
"02001_2009",133120,4,162447
"02001_2010",136325,4,165854
"02001_2011",139244,4,170964
"02001_2012",142645,6,176928
"02001_2013",145850,6,182200
"02001_2014",148446,6,187079
"02001_2015",150312,6,191411
"02002_1994",147908,6.5,194384
"02002_1995",154975,7.33333333333333,206214
"02002_1996",180771,8,209878
"02002_1997",167745,7.6,216939
"02002_1998",173739,7.33333333333333,228696
"02002_1999",164109,6.5,239434
"02002_2000",172937,6,249698
"02002_2001",176776,6,260165
"02002_2002",216032,6,271683
"02002_2003",230894,6,285928
"02002_2004",243260,6,299522
"02002_2005",293538,6,312026
"02002_2006",280232,7,326122
"02002_2007",313337,7,336293
"02002_2008",330257,8,346780
"02002_2009",340738,8,348312
"02002_2010",350643,8,348819
"02002_2011",355346,10,353695
"02002_2012",359614,10,358081
"02002_2013",347830,11,361235
"02002_2014",354269,11,362685
"02002_2015",359314,11,369225
"02003_1994",11509,8.5,16225
"02003_1995",12747,4.33333333333333,17169
"02003_1996",13937,1,17843
"02003_1997",14383,2,19043
"02003_1998",15663,1,20914
"02003_1999",16943,1,22495
"02003_2000",19120,1,24406
"02003_2001",20901,1,25690
"02003_2002",22676,1,26162
"02003_2003",23492,1,27433
"02003_2004",24798,1,28644
"02003_2005",27802,1,29959
"02003_2006",27284,1,30929
"02003_2007",29485,1,31984
"02003_2008",30333,1,32624
"02003_2009",31473,1,33203
"02003_2010",32368,2,33768
"02003_2011",33098,2,34496
"02003_2012",33508,2,35428
"02003_2013",35374,2,36183
"02003_2014",37584,2,37092
"02003_2015",38758,2,38687
"02004_1994",204849,1.75,256596
"02004_1995",233096,1.33333333333333,274150
"02004_1996",249026,1,259481
"02004_1997",284363,1.2,271705
"02004_1998",305379,1.33333333333333,295692
"02004_1999",317771,1.75,310732
"02004_2000",333888,2,324602
"02004_2001",349853,2,338240
"02004_2002",359465,2,350385
"02004_2003",379263,2,370879
"02004_2004",404080,2,387546
"02004_2005",389881,1,409743
"02004_2006",422003,1,431393
"02004_2007",444646,5,455640
"02004_2008",478223,2,475342
"02004_2009",497245,2,481249
"02004_2010",514115,3,486956
"02004_2011",528866,3,503114
"02004_2012",577698,4,518532
"02004_2013",590497,4,532829
"02004_2014",599373,4,543139
"02004_2015",613850,4,568746
"02005_1994",458776.5,3.25,425615
"02005_1995",209972,2,158989
"02005_1996",8033,1,21829
"02005_1997",75346,1.4,23552
"02005_1998",75346,1.33333333333333,27005
"02005_1999",70363.2,1.75,21228
"02005_2000",13861.3333333333,2,22315
"02005_2001",21669.25,2,23261
"02005_2002",26214.6666666667,2,23125
"02005_2003",26214.6666666667,2,24432
"02005_2004",26214.6666666667,2,25296
"02005_2005",25518,4,26437
"02005_2006",27608,4,28371
"02005_2007",27539,3.5,30692
"02005_2008",29967,3,31939
"02005_2009",29483,3,32691
"02005_2010",30226,3,33017
"02005_2011",31096,3,34009
"02005_2012",0,4,35554
"02005_2013",0,4,36909
"02005_2014",0,4,38518
"02005_2015",0,4,43098
"03001_1994",17665,2,15093
"03001_1995",17957,2,15734
"03001_1996",18212,2,16134
"03001_1997",17572,3,16786
"03001_1998",17572,2,17268
"03001_1999",17920,3,18046
"03001_2000",18312,3,18351
"03001_2001",18686,3,18782
"03001_2002",19158,3,19382
"03001_2003",19176,3,19742
"03001_2004",19496,4,20503
"03001_2005",19524,4,21153
"03001_2006",20189,4,21787
"03001_2007",19496,4,22720
"03001_2008",21047,5,23408
"03001_2009",21376,5,23870
"03001_2010",21529,6,24200
"03001_2011",23622,6,24979
"03001_2012",24217,6,25771
"03001_2013",24902,6,26417
"03001_2014",25648,7,26919
