"muniYear","homicidios"
"01001_1994",18
"01001_1995",28
"01001_1996",26
"01001_1997",19
"01001_1998",35
"01001_1999",20
"01001_2000",16
"01001_2001",17
"01001_2002",25
"01001_2003",17
"01001_2004",15
"01001_2005",18
"01001_2006",23
"01001_2007",29
"01001_2008",45
"01001_2009",48
"01001_2010",62
"01001_2011",71
"01001_2012",35
"01001_2013",26
"01001_2014",37
"01001_2015",35
"01002_1994",1
"01002_1995",NA
"01002_1996",NA
"01002_1997",NA
"01002_1998",1
"01002_1999",2
"01002_2000",NA
"01002_2001",2
"01002_2002",NA
"01002_2003",1
"01002_2004",NA
"01002_2005",1
"01002_2006",1
"01002_2007",1
"01002_2008",3
"01002_2009",NA
"01002_2010",1
"01002_2011",1
"01002_2012",2
"01002_2013",5
"01002_2014",NA
"01002_2015",1
"01003_1994",NA
"01003_1995",3
"01003_1996",NA
"01003_1997",1
"01003_1998",NA
"01003_1999",1
"01003_2000",1
"01003_2001",1
"01003_2002",NA
"01003_2003",1
"01003_2004",1
"01003_2005",1
"01003_2006",NA
"01003_2007",NA
"01003_2008",1
"01003_2009",NA
"01003_2010",NA
"01003_2011",2
"01003_2012",NA
"01003_2013",NA
"01003_2014",2
"01003_2015",NA
"01004_1994",NA
"01004_1995",NA
"01004_1996",1
"01004_1997",1
"01004_1998",NA
"01004_1999",NA
"01004_2000",NA
"01004_2001",NA
"01004_2002",1
"01004_2003",NA
"01004_2004",NA
"01004_2005",NA
"01004_2006",NA
"01004_2007",1
"01004_2008",NA
"01004_2009",NA
"01004_2010",2
"01004_2011",1
"01004_2012",1
"01004_2013",NA
"01004_2014",NA
"01004_2015",2
"01005_1994",NA
"01005_1995",NA
"01005_1996",1
"01005_1997",1
"01005_1998",1
"01005_1999",NA
"01005_2000",NA
"01005_2001",NA
"01005_2002",NA
"01005_2003",NA
"01005_2004",NA
"01005_2005",3
"01005_2006",1
"01005_2007",3
"01005_2008",2
"01005_2009",9
"01005_2010",3
"01005_2011",4
"01005_2012",4
"01005_2013",6
"01005_2014",4
"01005_2015",4
"01006_1994",2
"01006_1995",NA
"01006_1996",1
"01006_1997",NA
"01006_1998",4
"01006_1999",NA
"01006_2000",NA
"01006_2001",NA
"01006_2002",1
"01006_2003",NA
"01006_2004",3
"01006_2005",NA
"01006_2006",NA
"01006_2007",1
"01006_2008",3
"01006_2009",2
"01006_2010",1
"01006_2011",3
"01006_2012",1
"01006_2013",1
"01006_2014",1
"01006_2015",1
"01007_1994",1
"01007_1995",2
"01007_1996",1
"01007_1997",1
"01007_1998",3
"01007_1999",1
"01007_2000",NA
"01007_2001",2
"01007_2002",NA
"01007_2003",3
"01007_2004",1
"01007_2005",NA
"01007_2006",NA
"01007_2007",6
"01007_2008",4
"01007_2009",3
"01007_2010",4
"01007_2011",4
"01007_2012",1
"01007_2013",2
"01007_2014",1
"01007_2015",3
"01008_1994",NA
"01008_1995",NA
"01008_1996",NA
"01008_1997",NA
"01008_1998",NA
"01008_1999",NA
"01008_2000",NA
"01008_2001",NA
"01008_2002",NA
"01008_2003",NA
"01008_2004",NA
"01008_2005",1
"01008_2006",NA
"01008_2007",NA
"01008_2008",NA
"01008_2009",NA
"01008_2010",NA
"01008_2011",NA
"01008_2012",1
"01008_2013",NA
"01008_2014",NA
"01008_2015",NA
"01009_1994",NA
"01009_1995",NA
"01009_1996",NA
"01009_1997",NA
"01009_1998",NA
"01009_1999",NA
"01009_2000",NA
"01009_2001",NA
"01009_2002",NA
"01009_2003",NA
"01009_2004",1
"01009_2005",NA
"01009_2006",NA
"01009_2007",NA
"01009_2008",NA
"01009_2009",NA
"01009_2010",NA
"01009_2011",1
"01009_2012",NA
"01009_2013",1
"01009_2014",NA
"01009_2015",NA
"01010_1994",NA
"01010_1995",NA
"01010_1996",NA
"01010_1997",NA
"01010_1998",NA
"01010_1999",NA
"01010_2000",NA
"01010_2001",1
"01010_2002",NA
"01010_2003",2
"01010_2004",NA
"01010_2005",NA
"01010_2006",1
"01010_2007",NA
"01010_2008",NA
"01010_2009",1
"01010_2010",2
"01010_2011",6
"01010_2012",NA
"01010_2013",1
"01010_2014",NA
"01010_2015",NA
"01011_1994",1
"01011_1995",1
"01011_1996",NA
"01011_1997",NA
"01011_1998",NA
"01011_1999",NA
"01011_2000",NA
"01011_2001",NA
"01011_2002",NA
"01011_2003",NA
"01011_2004",NA
"01011_2005",1
"01011_2006",NA
"01011_2007",2
"01011_2008",1
"01011_2009",4
"01011_2010",NA
"01011_2011",2
"01011_2012",3
"01011_2013",4
"01011_2014",1
"01011_2015",1
"02001_1994",58
"02001_1995",62
"02001_1996",56
"02001_1997",47
"02001_1998",76
"02001_1999",74
"02001_2000",54
"02001_2001",37
"02001_2002",36
"02001_2003",38
"02001_2004",51
"02001_2005",44
"02001_2006",51
"02001_2007",60
"02001_2008",72
"02001_2009",82
"02001_2010",66
"02001_2011",58
"02001_2012",69
"02001_2013",64
"02001_2014",54
"02001_2015",50
"02002_1994",99
"02002_1995",104
"02002_1996",99
"02002_1997",79
"02002_1998",137
"02002_1999",171
"02002_2000",103
"02002_2001",130
"02002_2002",104
"02002_2003",110
"02002_2004",108
"02002_2005",118
"02002_2006",75
"02002_2007",65
"02002_2008",104
"02002_2009",215
"02002_2010",132
"02002_2011",155
"02002_2012",146
"02002_2013",125
"02002_2014",146
"02002_2015",99
"02003_1994",19
"02003_1995",21
"02003_1996",8
"02003_1997",11
"02003_1998",28
"02003_1999",14
"02003_2000",17
"02003_2001",19
"02003_2002",14
"02003_2003",12
"02003_2004",15
"02003_2005",13
"02003_2006",16
"02003_2007",25
"02003_2008",46
"02003_2009",78
"02003_2010",35
"02003_2011",34
"02003_2012",23
"02003_2013",25
"02003_2014",19
"02003_2015",14
"02004_1994",176
"02004_1995",210
"02004_1996",207
"02004_1997",189
"02004_1998",325
"02004_1999",355
"02004_2000",255
"02004_2001",204
"02004_2002",260
"02004_2003",282
"02004_2004",300
"02004_2005",253
"02004_2006",301
"02004_2007",206
"02004_2008",736
"02004_2009",1115
"02004_2010",1257
"02004_2011",512
"02004_2012",320
"02004_2013",525
"02004_2014",454
"02004_2015",644
"02005_1994",NA
"02005_1995",1
"02005_1996",10
"02005_1997",12
"02005_1998",15
"02005_1999",23
"02005_2000",11
"02005_2001",14
"02005_2002",13
"02005_2003",12
"02005_2004",6
"02005_2005",11
"02005_2006",22
"02005_2007",13
"02005_2008",73
"02005_2009",40
"02005_2010",35
"02005_2011",51
"02005_2012",25
"02005_2013",28
"02005_2014",39
"02005_2015",43
"03001_1994",5
"03001_1995",3
"03001_1996",4
"03001_1997",4
"03001_1998",1
"03001_1999",6
"03001_2000",6
"03001_2001",2
"03001_2002",5
"03001_2003",2
"03001_2004",3
"03001_2005",2
"03001_2006",1
"03001_2007",7
"03001_2008",2
"03001_2009",6
"03001_2010",7
"03001_2011",4
"03001_2012",2
"03001_2013",2
"03001_2014",NA
"03001_2015",1
"03002_1994",1
