"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"01001",-1.676,877190,2015,"01001_2015"
"01001",-1.768,797010,2010,"01001_2010"
"01001",-1.831,723043,2005,"01001_2005"
"01001",-1.871,643419,2000,"01001_2000"
"01001",-1.735,582827,1995,"01001_1995"
"01001",-1.833,506274,1990,"01001_1990"
"01005",-1.256,120405,2015,"01005_2015"
"01005",-1.262,99590,2010,"01005_2010"
"01005",-1.234,82623,2005,"01005_2005"
"01005",-1.141,64097,2000,"01005_2000"
"01003",-0.698,56048,2015,"01003_2015"
"01005",-0.972,54476,1995,"01005_1995"
"01003",-0.754,54136,2010,"01003_2010"
"01007",-1.045,53866,2015,"01007_2015"
"01003",-1.105,51658,1995,"01003_1995"
"01003",-0.811,51291,2000,"01003_2000"
"01003",-0.875,50183,2005,"01003_2005"
"01007",-1.035,49156,2010,"01007_2010"
"01003",-0.957,48440,1990,"01003_1990"
"01006",-1.129,46473,2015,"01006_2015"
"01002",-0.565,46464,2015,"01002_2015"
"01011",-1.156,46454,2015,"01011_2015"
"01002",-0.463,45492,2010,"01002_2010"
"01007",-1.136,45471,2005,"01007_2005"
"01006",-1.245,41862,2010,"01006_2010"
"01007",-1.124,41655,2000,"01007_2000"
"01005",-0.895,41092,1990,"01005_1990"
"01002",-0.62,40547,2005,"01002_2005"
"01006",-1.306,38912,2005,"01006_2005"
"01007",-0.985,38752,1995,"01007_1995"
"01002",-0.584,37763,2000,"01002_2000"
"01011",-1.144,35769,2010,"01011_2010"
"01002",-0.709,35762,1995,"01002_1995"
"01006",-1.361,34296,2000,"01006_2000"
"01007",-0.947,33781,1990,"01007_1990"
"01002",-0.383,32225,1990,"01002_1990"
"01006",-1.196,31650,1995,"01006_1995"
"01011",-1.153,28832,2005,"01011_2005"
"01006",-1.263,26051,1990,"01006_1990"
"01009",-0.595,20926,2015,"01009_2015"
"01010",-0.614,20245,2015,"01010_2015"
"01011",-1.072,20066,2000,"01011_2000"
"01009",-0.609,19668,2010,"01009_2010"
"01010",-0.672,18828,2010,"01010_2010"
"01011",-1.285,17836,1995,"01011_1995"
"01009",-0.722,17372,2005,"01009_2005"
"01010",-0.641,17115,2005,"01010_2005"
"01009",-0.656,16508,2000,"01009_2000"
"01009",-0.85,16175,1995,"01009_1995"
"01004",-0.674,15577,2015,"01004_2015"
"01010",-0.519,15327,2000,"01010_2000"
"01004",-0.648,15042,2010,"01004_2010"
"01009",-0.597,14809,1990,"01009_1990"
"01010",-0.776,14278,1995,"01010_1995"
"01004",-0.747,13687,2005,"01004_2005"
"01004",-0.771,12619,2000,"01004_2000"
"01004",-0.772,12136,1995,"01004_1995"
"01004",-0.537,10247,1990,"01004_1990"
"01008",-0.735,8896,2015,"01008_2015"
"01008",-0.753,8443,2010,"01008_2010"
"01008",-0.81,7631,2005,"01008_2005"
"01008",-0.766,7244,2000,"01008_2000"
"01008",-0.738,7170,1995,"01008_1995"
"01008",-0.477,6740,1990,"01008_1990"
"02004",-1.708,1641570,2015,"02004_2015"
"02004",-1.817,1559683,2010,"02004_2010"
"02004",-1.926,1410687,2005,"02004_2005"
"02004",-1.96,1210820,2000,"02004_2000"
"02004",-1.797,991592,1995,"02004_1995"
"02002",-1.648,988417,2015,"02002_2015"
"02002",-1.754,936826,2010,"02002_2010"
"02002",-1.898,855962,2005,"02002_2005"
"02002",-1.923,764602,2000,"02002_2000"
"02004",-1.978,747381,1990,"02004_1990"
"02002",-1.716,696034,1995,"02002_1995"
"02002",-1.979,601938,1990,"02002_1990"
"02001",-1.323,486639,2015,"02001_2015"
"02001",-1.361,466814,2010,"02001_2010"
"02001",-1.609,413481,2005,"02001_2005"
"02001",-1.581,370730,2000,"02001_2000"
"02001",-1.51,315289,1995,"02001_1995"
"02001",-1.821,259979,1990,"02001_1990"
"02003",-1.408,102406,2015,"02003_2015"
"02003",-1.495,101079,2010,"02003_2010"
"02005",-1.463,96734,2015,"02005_2015"
"02003",-1.626,91034,2005,"02003_2005"
"02005",-1.488,90668,2010,"02005_2010"
"02003",-1.634,77795,2000,"02003_2000"
"02005",-1.546,73305,2005,"02005_2005"
"02005",-1.572,63420,2000,"02005_2000"
"02003",-1.587,62629,1995,"02003_1995"
"02003",-1.711,51557,1990,"02003_1990"
"02005",-1.365,46596,1995,"02005_1995"
"03008",-1.296,287671,2015,"03008_2015"
"03003",-1.658,272711,2015,"03003_2015"
"03003",-1.745,251871,2010,"03003_2010"
"03008",-1.46,238487,2010,"03008_2010"
"03003",-1.775,219596,2005,"03003_2005"
"03003",-1.768,196907,2000,"03003_2000"
"03003",-1.569,182418,1995,"03003_1995"
"03008",-1.515,164162,2005,"03008_2005"
"03003",-1.89,160970,1990,"03003_1990"
"03008",-1.585,105469,2000,"03008_2000"
"03001",-1.377,74346,1990,"03001_1990"
"03001",-1.017,72564,2015,"03001_2015"
"03008",-1.33,71031,1995,"03008_1995"
"03001",-1.2,70816,2010,"03001_2010"
"03001",-1.07,66096,1995,"03001_1995"
"03001",-1.199,63864,2000,"03001_2000"
"03001",-1.245,63830,2005,"03001_2005"
"03002",-1.051,60171,2015,"03002_2015"
"03002",-1.087,59114,2010,"03002_2010"
"03002",-1.2,52743,2005,"03002_2005"
"03002",-1.226,45989,2000,"03002_2000"
"03002",-1.396,45963,1995,"03002_1995"
"03008",-1.491,43920,1990,"03008_1990"
"03002",-1.485,38528,1990,"03002_1990"
"03009",-1.345,18912,2015,"03009_2015"
"03009",-1.266,16738,2010,"03009_2010"
"03009",-1.337,11839,2005,"03009_2005"
"03009",-1.379,11812,2000,"03009_2000"
"03009",-1.136,9986,1995,"03009_1995"
"04002",-1.281,283025,2015,"04002_2015"
"04002",-1.379,259005,2010,"04002_2010"
"04003",-1.186,248303,2015,"04003_2015"
"04002",-1.305,238850,2005,"04002_2005"
"04003",-1.185,221094,2010,"04003_2010"
"04002",-1.286,216897,2000,"04002_2000"
"04002",-1.129,204533,1995,"04002_1995"
"04003",-1.063,199988,2005,"04003_2005"
"04003",-0.697,179690,1995,"04003_1995"
"04002",-1.413,173645,1990,"04002_1990"
"04003",-1.047,172076,2000,"04003_2000"
"04003",-0.959,136034,1990,"04003_1990"
"04004",-0.159,90244,2015,"04004_2015"
"04004",-0.285,83021,2010,"04004_2010"
"04004",0.142,80066,1995,"04004_1995"
"04004",-0.231,76116,2005,"04004_2005"
"04004",-0.071,71836,1990,"04004_1990"
"04004",-0.138,70554,2000,"04004_2000"
