"muniYear","POB_TOT"
"01001_2015",877190
"01001_2010",797010
"01001_2005",723043
"01001_2000",643419
"01001_1995",582827
"01001_1990",506274
"01005_2015",120405
"01005_2010",99590
"01005_2005",82623
"01005_2000",64097
"01003_2015",56048
"01005_1995",54476
"01003_2010",54136
"01007_2015",53866
"01003_1995",51658
"01003_2000",51291
"01003_2005",50183
"01007_2010",49156
"01003_1990",48440
"01006_2015",46473
"01002_2015",46464
"01011_2015",46454
"01002_2010",45492
"01007_2005",45471
"01006_2010",41862
"01007_2000",41655
"01005_1990",41092
"01002_2005",40547
"01006_2005",38912
"01007_1995",38752
"01002_2000",37763
"01011_2010",35769
"01002_1995",35762
"01006_2000",34296
"01007_1990",33781
"01002_1990",32225
"01006_1995",31650
"01011_2005",28832
"01006_1990",26051
"01009_2015",20926
"01010_2015",20245
"01011_2000",20066
"01009_2010",19668
"01010_2010",18828
"01011_1995",17836
"01009_2005",17372
"01010_2005",17115
"01009_2000",16508
"01009_1995",16175
"01004_2015",15577
"01010_2000",15327
"01004_2010",15042
"01009_1990",14809
"01010_1995",14278
"01004_2005",13687
"01004_2000",12619
"01004_1995",12136
"01004_1990",10247
"01008_2015",8896
"01008_2010",8443
"01008_2005",7631
"01008_2000",7244
"01008_1995",7170
"01008_1990",6740
"02004_2015",1641570
"02004_2010",1559683
"02004_2005",1410687
"02004_2000",1210820
"02004_1995",991592
"02002_2015",988417
"02002_2010",936826
"02002_2005",855962
"02002_2000",764602
"02004_1990",747381
"02002_1995",696034
"02002_1990",601938
"02001_2015",486639
"02001_2010",466814
"02001_2005",413481
"02001_2000",370730
"02001_1995",315289
"02001_1990",259979
"02003_2015",102406
"02003_2010",101079
"02005_2015",96734
"02003_2005",91034
"02005_2010",90668
"02003_2000",77795
"02005_2005",73305
"02005_2000",63420
"02003_1995",62629
"02003_1990",51557
"02005_1995",46596
"03008_2015",287671
"03003_2015",272711
"03003_2010",251871
"03008_2010",238487
"03003_2005",219596
"03003_2000",196907
"03003_1995",182418
"03008_2005",164162
"03003_1990",160970
"03008_2000",105469
"03001_1990",74346
"03001_2015",72564
"03008_1995",71031
"03001_2010",70816
"03001_1995",66096
"03001_2000",63864
"03001_2005",63830
"03002_2015",60171
"03002_2010",59114
"03002_2005",52743
"03002_2000",45989
"03002_1995",45963
"03008_1990",43920
"03002_1990",38528
"03009_2015",18912
"03009_2010",16738
"03009_2005",11839
"03009_2000",11812
"03009_1995",9986
"04002_2015",283025
"04002_2010",259005
"04003_2015",248303
"04002_2005",238850
"04003_2010",221094
"04002_2000",216897
"04002_1995",204533
"04003_2005",199988
"04003_1995",179690
"04002_1990",173645
"04003_2000",172076
"04003_1990",136034
"04004_2015",90244
"04004_2010",83021
"04004_1995",80066
"04004_2005",76116
"04004_1990",71836
"04004_2000",70554
"04009_2015",58553
"04001_2015",56537
"04009_2010",54184
"04009_1995",53733
"04001_2010",52890
"04009_2000",50563
"04009_2005",50106
"04001_2005",49850
"04001_2000",46899
"04009_1990",44496
"04011_2015",43879
"04001_1995",43799
"04006_1995",41745
"04011_2010",41194
"04006_2015",40100
"04001_1990",38883
"04006_2010",37777
"04011_2000",37681
"04011_2005",37006
"04006_1990",36271
"04006_2005",34687
"04005_2015",31230
"04006_2000",31214
"04010_2015",28424
"04005_2010",28306
"04005_2005",26973
"04010_2010",26882
"04005_2000",24889
"04010_2005",23814
"04005_1995",23417
"04010_2000",23115
"04005_1990",20290
"04008_2015",10665
"04008_2010",9736
"04008_2005",9050
"04007_2015",8971
"04007_2000",8401
"04008_2000",8400
"04007_2010",8352
"04007_2005",8290
"04007_1995",7903
"04008_1995",7630
"04007_1990",7162
