"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year"
"01001_1980",1,1001,1980,"PRI",7684,54866,0,NA,NA,69603,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,1,NA,NA,NA,"01_1980"
"01001_1983",1,1001,1983,"PRI",36145,71747,686,NA,NA,114479,"PRI","PRI","PRI","PRI",1980,3,"PRI","PRI",1,NA,NA,NA,"01_1983"
"01001_1986",1,1001,1986,"PRI",30425,96758,1120,0,0,142030,"PRI","PRI","PRI","PRI",1983,3,"PRI","PRI",1,1,0,0,"01_1986"
"01001_1989",1,1001,1989,"PRI",24822,57852,1857,0,0,88659,"PRI","PRI","PRI","PRI",1986,3,"PRI","PRI",1,1,0,0,"01_1989"
"01001_1992",1,1001,1992,"PRI",29563,92359,4071,0,0,137977,"PRI","PRI","PRI","PRI",1989,3,"PRI","PRI",1,1,0,0,"01_1992"
"01001_1995",1,1001,1995,"PAN",92863,56775,13814,3810,0,174344,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995"
"01001_1998",1,1001,1998,"PAN",130616,88917,17014,3707,35,243515,"PRI","PRI","PAN","PAN",1995,3,"PAN","PAN",0,1,0,0,"01_1998"
"01001_2001",1,1001,2001,"PAN",79398,54100,11046,15746,306,159520,"PAN","PAN","PAN","PAN",1998,3,"PAN","PAN",1,0,1,0,"01_2001"
"01001_2004",1,1001,2004,"PAN",111892,107671,9952,5274,98,229515,"PAN","PAN","PAN","PAN",2001,3,"PAN","PAN",1,0,1,0,"01_2004"
"01001_2007",1,1001,2007,"PRI",63535,69266,8771,7896,380,201006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,0,1,0,"01_2007"
"01001_2010",1,1001,2010,"PRI_PVEM_PNA",93845,150554,4706,6497,389,266832,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010"
"01001_2013",1,1001,2013,"PAN_PRD",0,88095,0,10267,592,239292,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,1,0,0,"01_2013"
"01002_1980",1,1002,1980,"PRI",0,5812,0,NA,NA,5843,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,1,NA,NA,NA,"01_1980"
"01002_1983",1,1002,1983,"PRI",1114,6341,10,NA,NA,7542,"PRI","PRI","PRI","PRI",1980,3,"PRI","PRI",1,NA,NA,NA,"01_1983"
"01002_1986",1,1002,1986,"PRI",233,10500,1,0,0,11596,"PRI","PRI","PRI","PRI",1983,3,"PRI","PRI",1,1,0,0,"01_1986"
"01002_1989",1,1002,1989,"PRI",116,7953,31,0,0,8339,"PRI","PRI","PRI","PRI",1986,3,"PRI","PRI",1,1,0,0,"01_1989"
"01002_1992",1,1002,1992,"PRI",421,5445,633,0,0,8053,"PRI","PRI","PRI","PRI",1989,3,"PRI","PRI",1,1,0,0,"01_1992"
"01002_1995",1,1002,1995,"PRI",2699,5612,609,253,0,9278,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995"
"01002_1998",1,1002,1998,"PAN",5826,5519,668,324,2,12262,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998"
"01002_2001",1,1002,2001,"PRI",3572,4064,510,1194,2,11906,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001"
"01002_2004",1,1002,2004,"PAN",6828,3752,3879,419,7,14459,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004"
"01002_2007",1,1002,2007,"PRI",5544,7011,269,383,9,15188,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007"
"01002_2010",1,1002,2010,"PRI_PVEM_PNA",7517,8274,232,493,20,17180,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010"
"01002_2013",1,1002,2013,"PNA",0,6264,0,568,11,20056,"PRI_PVEM_PNA","PRI","PNA","Otros",2010,3,"PRI","PRI",0,1,0,0,"01_2013"
"01003_1980",1,1003,1980,"PRI",270,5252,0,NA,NA,5651,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,1,NA,NA,NA,"01_1980"
"01003_1983",1,1003,1983,"PRI",934,4583,0,NA,NA,9154,"PRI","PRI","PRI","PRI",1980,3,"PRI","PRI",1,NA,NA,NA,"01_1983"
"01003_1986",1,1003,1986,"PRI",425,4231,4,0,0,8059,"PRI","PRI","PRI","PRI",1983,3,"PRI","PRI",1,1,0,0,"01_1986"
"01003_1989",1,1003,1989,"PRI",1868,3905,94,0,0,5933,"PRI","PRI","PRI","PRI",1986,3,"PRI","PRI",1,1,0,0,"01_1989"
"01003_1992",1,1003,1992,"PRI",4916,5913,120,0,0,11319,"PRI","PRI","PRI","PRI",1989,3,"PRI","PRI",1,1,0,0,"01_1992"
"01003_1995",1,1003,1995,"PAN",7373,5628,296,365,0,13583,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995"
"01003_1998",1,1003,1998,"PAN",7674,6501,1430,430,6,16085,"PRI","PRI","PAN","PAN",1995,3,"PAN","PAN",0,1,0,0,"01_1998"
"01003_2001",1,1003,2001,"PRI",5119,7196,1573,309,4,15829,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,0,1,0,"01_2001"
"01003_2004",1,1003,2004,"PAN",7443,3319,4235,411,2,14997,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004"
"01003_2007",1,1003,2007,"PAN_PNA",5537,4875,4837,482,22,16400,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,1,0,0,"01_2007"
"01003_2010",1,1003,2010,"PRI_PVEM_PNA",4991,7042,4334,530,25,18008,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010"
"01003_2013",1,1003,2013,"PAN_PRD",0,6730,0,988,32,20854,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,0,1,0,"01_2013"
"01004_1980",1,1004,1980,"PRI",0,1715,0,NA,NA,1766,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,1,NA,NA,NA,"01_1980"
"01004_1983",1,1004,1983,"PRI",52,2018,3,NA,NA,2385,"PRI","PRI","PRI","PRI",1980,3,"PRI","PRI",1,NA,NA,NA,"01_1983"
"01004_1986",1,1004,1986,"PRI",14,3406,1,0,0,3773,"PRI","PRI","PRI","PRI",1983,3,"PRI","PRI",1,1,0,0,"01_1986"
"01004_1989",1,1004,1989,"PRI",10,2160,9,0,0,3210,"PRI","PRI","PRI","PRI",1986,3,"PRI","PRI",1,1,0,0,"01_1989"
"01004_1992",1,1004,1992,"PRI",17,3132,31,0,0,3736,"PRI","PRI","PRI","PRI",1989,3,"PRI","PRI",1,1,0,0,"01_1992"
"01004_1995",1,1004,1995,"PAN",2120,2115,23,64,0,4454,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995"
"01004_1998",1,1004,1998,"PRI",2260,2574,134,125,0,5142,"PRI","PRI","PRI","PRI",1995,3,"PAN","PAN",1,1,0,0,"01_1998"
"01004_2001",1,1004,2001,"PRI",2078,2633,238,200,1,5314,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,0,1,0,"01_2001"
"01004_2004",1,1004,2004,"PAN",2544,1935,1095,128,3,5574,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,1,0,0,"01_2004"
"01004_2007",1,1004,2007,"PRI",1750,2501,219,100,5,6006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007"
"01004_2010",1,1004,2010,"PRI_PVEM_PNA",1378,2810,86,150,4,5530,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010"
"01004_2013",1,1004,2013,"PRI_PVEM",0,3539,0,103,2,7327,"PRI_PVEM_PNA","PRI","PRI","PRI",2010,3,"PRI","PRI",1,1,0,0,"01_2013"
"01005_1980",1,1005,1980,"PRI",307,1919,0,NA,NA,2247,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,1,NA,NA,NA,"01_1980"
"01005_1983",1,1005,1983,"PRI",2535,3613,3,NA,NA,6241,"PRI","PRI","PRI","PRI",1980,3,"PRI","PRI",1,NA,NA,NA,"01_1983"
"01005_1986",1,1005,1986,"PRI",1586,4065,20,0,0,6584,"PRI","PRI","PRI","PRI",1983,3,"PRI","PRI",1,1,0,0,"01_1986"
"01005_1989",1,1005,1989,"PRI",1826,4020,6,0,0,5894,"PRI","PRI","PRI","PRI",1986,3,"PRI","PRI",1,1,0,0,"01_1989"
"01005_1992",1,1005,1992,"PRI",3241,7243,29,0,0,10719,"PRI","PRI","PRI","PRI",1989,3,"PRI","PRI",1,1,0,0,"01_1992"
"01005_1995",1,1005,1995,"PRI",5429,6864,238,330,0,13016,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995"
"01005_1998",1,1005,1998,"PAN",10793,6609,438,421,2,18182,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998"
"01005_2001",1,1005,2001,"PRI",6036,8583,511,354,1,16478,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001"
